time,avg_T,max_B,max_T,max_eddy_heat
1.22,300.06384120762,0.42888928286718,300.10215961411,48.496582688694
1.23,300.06058108287,0.37928041160697,300.0946417413,33.745313097856
1.24,300.05759418944,0.3491187471492,300.08819638967,77.529258127387
1.25,300.05506923956,0.31353609945624,300.08283051538,136.06579645406
1.26,300.05316690403,0.27309263451054,300.07866589198,205.71897049959
1.27,300.05200966137,0.23392824635512,300.07622334708,282.15099393702
1.28,300.05167403413,0.21100760038487,300.07962701373,360.59428408409
1.29,300.05218570141,0.1899898430661,300.08708182693,436.15057158979
1.3,300.05351779618,0.17409974570621,300.09789941274,504.09829853125
1.31,300.05559249593,0.1556012123956,300.11187993525,560.1889939699
1.32,300.05828580829,0.1347844935489,300.12716174451,600.91400729639
1.33,300.06143525266,0.11921362551205,300.14225142381,623.72484090546
1.34,300.06484995687,0.10726339183936,300.15621942751,627.19323795614
1.35,300.06832253627,0.098674696853274,300.16820531055,611.10096509964
1.36,300.07164201056,0.09031355557975,300.17747155801,576.45364634316
1.37,300.07460694839,0.080700863186713,300.18344971971,525.41777518772
1.38,300.07703801547,0.069986525964093,300.18577595383,461.18485808078
1.39,300.07878913936,0.064195472730074,300.18431374803,387.77121981647
1.4,300.07975659074,0.058318233038358,300.1791623919,309.76604322872
1.41,300.07988541193,0.054582068160754,300.17178870004,232.04346736918
1.42,300.07917278993,0.050179533272929,300.16235726401,159.45682604506
1.43,300.07766816297,0.045178355136041,300.15110443473,126.00684796867
1.44,300.07547005485,0.040526181126789,300.13878271898,109.2844444114
1.45,300.07271983649,0.037662769754732,300.12701084211,90.62184219245
1.46,300.0695928073,0.035079590926131,300.11652589705,71.18105093984
1.47,300.06628715702,0.033075794220736,300.1073400871,52.171500189431
1.48,300.06301150163,0.030751477351817,300.09939383609,34.774263361242
1.49,300.05997177653,0.02814176167387,300.09259882528,72.717106294604
1.5,300.05735831021,0.026113629068071,300.08693504291,129.73417165725
1.51,300.05533389017,0.041227142991005,300.082505069,197.99932239068
1.52,300.05402357045,0.14989584772771,300.07976515718,273.19345898465
1.53,300.05350686029,0.25621172643582,300.08205378025,350.56498674394
1.54,300.05381278396,0.35849800634476,300.08858747794,425.22873916116
1.55,300.05491812117,0.45514146559625,300.09822310627,492.47323688958
1.56,300.05674893732,0.54461787467805,300.11064169693,548.05697250195
1.57,300.05918530647,0.62551603439627,300.12519553688,588.47510176635
1.58,300.0620689288,0.69656003129315,300.13960157757,611.17978265311
1.59,300.06521316266,0.75662935952903,300.15293985928,614.74031679126
1.6,300.06841483953,0.80477659189422,300.1643585231,598.93303153751
1.61,300.07146711815,0.84024232126853,300.17312752997,564.75525646215
1.62,300.07417256868,0.86246713689277,300.1786847035,514.36251842829
1.63,300.07635566367,0.8711004465786,300.18067120121,450.93290479888
1.64,300.0778738895,0.8660060057261,300.17895418378,378.46712141634
1.65,300.07862677906,0.84726406595248,300.17363525628,301.53681329667
1.66,300.07856229699,0.8151701094469,300.16617692075,224.99696748316
1.67,300.07768017521,0.7702301890114,300.1567305914,153.68047492201
1.68,300.07603198835,0.71315294727831,300.14547164694,121.30739924103
1.69,300.07371796351,0.64483844096562,300.13343444064,104.94996202516
1.7,300.07088072424,0.56636394641872,300.12210122406,86.71358989846
1.71,300.06769636133,0.47896697029333,300.11202709809,67.752573210666
1.72,300.06436339106,0.42746856668408,300.10323576444,49.267931976829
1.73,300.06109029468,0.37718489877847,300.09560625053,33.021764952528
1.74,300.05808242188,0.34705800665627,300.08907531762,76.44886090386
1.75,300.05552908131,0.31150932598429,300.08363570527,134.65705439577
1.76,300.05359162968,0.27109904664999,300.07939810836,204.01452414597
1.77,300.05239330802,0.23113456719098,300.07685542565,280.18698639139
1.78,300.05201146445,0.20825839549056,300.07994876467,358.40969541704
1.79,300.05247265279,0.18677209380293,300.08720333251,433.78653223709
1.8,300.0537509155,0.17093176627251,300.09775763112,501.59739251162
1.81,300.05576936005,0.15248192910476,300.11149386486,557.59456255955
1.82,300.05840493029,0.13171286238154,300.12663280192,598.2694634618
1.83,300.06149607421,0.1156263854088,300.14159162979,621.07300432181
1.84,300.0648528273,0.10372885121248,300.15544242891,624.57569983773
1.85,300.06826867896,0.094879541402751,300.16732612791,608.55749135196
1.86,300.07153347755,0.086572178656277,300.17650632018,574.02162672774
1.87,300.0744465642,0.077012205070935,300.18241538987,523.13172528534
1.88,300.07682931131,0.066349553592042,300.18469005105,459.07597986135
1.89,300.07853627888,0.06031224003208,300.18319406859,385.86702559041
1.9,300.07946428871,0.054357225424915,300.17802673447,308.0900466823
1.91,300.07955884721,0.050671685066111,300.17064300474,230.61494429061
1.92,300.07881751414,0.046318883551032,300.16121952541,158.29064624573
1.93,300.07729000641,0.041366567413757,300.14998560954,125.10522291157
1.94,300.07507503091,0.036695210718437,300.13771747206,108.45660239759
1.95,300.07231404623,0.03387709180257,300.12600675514,89.878590742704
1.96,300.06918234546,0.03135929128791,300.11560712029,70.531588484627
1.97,300.06587802073,0.029396964259267,300.10649818436,51.62331909871
1.98,300.06260950325,0.027113497525045,300.09862230387,34.333081576221
1.99,300.05958246164,0.02454402358195,300.09188665448,73.430735166099
2,300.05698688186,0.022664928437838,300.08627600946,130.67318952662
2.01,300.05498514034,0.040984685933735,300.08189709825,199.14253396818
2.02,300.05370181947,0.14965680442423,300.07921959652,274.51710307851
2.03,300.053215905,0.25597602980177,300.08173325098,352.04317292538
2.04,300.05355585503,0.35826559098547,300.08840513095,426.83390459354
2.05,300.05469784998,0.45491226775493,300.09819989561,494.17661590284
2.06,300.05656733272,0.54439183218576,300.11084641046,549.82907150469
2.07,300.05904374138,0.62529308662377,300.12550298874,590.28617220772
2.08,300.06196813664,0.69634011910444,300.1400040709,613.00028497071
2.09,300.06515324345,0.75641242523651,300.15342845352,616.54136860385
2.1,300.06839527522,0.80456257921548,300.16492320132,600.68683375439
2.11,300.07148679677,0.84003117528465,300.17375737801,566.43549147759
2.12,300.07422981676,0.86225880400808,300.17936809803,515.94471513835
2.13,300.07644828616,0.87089487448179,300.18139600368,452.39476581105
2.14,300.07799921643,0.86580314335277,300.17970793723,379.78880850706
2.15,300.07878171814,0.84706386344889,300.17440538197,302.70118789766
2.16,300.07874339113,0.81497251813501,300.16695288253,225.98978373288
2.17,300.07788366402,0.77003516135507,300.15750206902,154.49052359118
2.18,300.07625387265,0.71296043685068,300.14623533333,121.94525697473
2.19,300.07395407175,0.64464840241756,300.13415595724,105.53602829646
2.2,300.07112677982,0.56617633544834,300.12276114026,87.239871374233
2.21,300.06794804983,0.47878174361651,300.1126165417,68.212201981608
2.22,300.06461642633,0.42678603177342,300.10377156828,49.655244221234
2.23,300.0613404829,0.3762027316171,300.09608933421,32.742375291485
2.24,300.0583257226,0.34605350993469,300.08951981754,75.928041069844
2.25,300.05576166473,0.31051725231895,300.08404893759,133.97414364851
2.26,300.05380992933,0.27011918157907,300.07978300626,203.18414992491
2.27,300.05259406821,0.22974320109034,300.07720458254,279.22570884091
2.28,300.05219178193,0.20688379789032,300.08016956543,357.33570440085
2.29,300.05263001204,0.18514140004787,300.0873266309,432.61932682847
2.3,300.0538832174,0.16932030546622,300.09773530157,500.35744824813
2.31,300.05587494356,0.15088938470735,300.11133737384,556.30299180877
2.32,300.05848258702,0.13013892452933,300.12640056418,596.94767422133
2.33,300.06154505589,0.11375315873734,300.14128884191,619.74236267437
2.34,300.06487284604,0.10187688399347,300.15507525276,623.25720110414
2.35,300.06825990067,0.092857316036291,300.16690157445,607.27144473514
2.36,300.07149650859,0.084572292617523,300.17603212309,572.78735792574
2.37,300.07438243175,0.075034314514632,300.18189987109,521.96730117599
2.38,300.07673943784,0.064393321443902,300.18414198039,457.99795893283
2.39,300.07842245123,0.058172500491996,300.18262251978,384.89023731882
2.4,300.07932862241,0.052129582751047,300.17744093975,307.22740254632
2.41,300.07940374662,0.048466846640341,300.17004871256,229.87728257379
2.42,300.07864562917,0.044136525640023,300.16062516105,157.68661221724
2.43,300.07710418645,0.039206372130339,300.14939456628,124.62240092043
2.44,300.0748782769,0.034458568933922,300.13715428622,108.01199112766
2.45,300.0721094614,0.031662081069515,300.1254849993,89.478284675505
2.46,300.06897308569,0.029129319638855,300.11512413676,70.180860649289
2.47,300.06566724523,0.027187672104354,300.10605465349,51.326557173039
2.48,300.06240032624,0.024924622164512,300.09821410087,34.093738986694
2.49,300.05937790584,0.022375306488419,300.09150727706,73.811624638991
2.5,300.05678983433,0.020510636080527,300.08592180907,131.17550314933
2.51,300.05479831138,0.040854932431533,300.0815664697,199.75568775318
2.52,300.05352770513,0.14952847419357,300.07891525315,275.22902009612
2.53,300.05305675358,0.25584910104772,300.08153072305,352.84050287378
2.54,300.05341363813,0.35814004234102,300.08827725372,427.70225817115
2.55,300.05457423834,0.45478807827071,300.09816115252,495.10081008118
2.56,300.05646367715,0.54426898132012,300.11094042881,550.79338171783
2.57,300.05896105897,0.62517155423308,300.12565516013,591.274587454
2.58,300.06190710232,0.69621988543372,300.14021071391,613.99676186326
2.59,300.06511418692,0.75629347091026,300.15368512496,617.53008050575
