time,avg_u,avg_v,total_energy
1.4,-0.01467529931948,0.023467148232003,-0.01467529931948
1.42,-0.013103471152442,0.024013224258563,-0.013103471152442
1.44,-0.011520672470893,0.024459865947344,-0.011520672470893
1.46,-0.0099328780294628,0.024807761018922,-0.0099328780294626
1.48,-0.008345942315739,0.025057938176105,-0.0083459423157389
1.5,-0.0067655811744946,0.025211755491659,-0.0067655811744945
1.52,-0.0051973543584449,0.025270887874421,-0.0051973543584448
1.54,-0.0036466490471467,0.025237313680445,-0.0036466490471466
1.56,-0.0021186643711941,0.025113300537344,-0.0021186643711941
1.58,-0.00061839697437282,0.024901390451293,-0.00061839697437281
1.6,0.00084937235807466,0.024604384267137,0.00084937235807465
1.62,0.0022800909814239,0.024225325552724,0.0022800909814239
1.64,0.0036694455645224,0.023767483979063,0.0036694455645224
1.66,0.0050133721392121,0.02323433826803,0.005013372139212
1.68,0.0063080650158112,0.022629558779288,0.0063080650158111
1.7,0.0075499845586858,0.02195698980769,0.0075499845586856
1.72,0.0087358638201954,0.02122063166186,0.0087358638201952
1.74,0.0098627140354683,0.020424622593794,0.0098627140354681
1.76,0.010927828984518,0.01957322064824,0.010927828984517
1.78,0.011928788232155,0.018670785499318,0.011928788232155
1.8,0.012863459259974,0.017721760340316,0.012863459259974
1.82,0.013729998508345,0.016730653890906,0.013729998508345
1.84,0.014526851349891,0.015702022584072,0.01452685134989
1.86,0.015252751019277,0.014640452992986,0.015252751019277
1.88,0.015906716527351,0.013550544555787,0.01590671652735
1.9,0.016488049590672,0.012436892653808,0.016488049590672
1.92,0.016996330610343,0.011304072096225,0.016996330610342
1.94,0.017431413736661,0.010156621061412,0.01743141373666
1.96,0.017793421058623,0.0089990255424697,0.017793421058622
1.98,0.018082735959516,0.0078357043414838,0.018082735959516
2,0.018299995681939,0.0066709946540272,0.018299995681938
2.02,0.018446083147406,0.0055091382823593,0.018446083147406
2.04,0.018522118077388,0.0043542685125901,0.018522118077387
2.06,0.01852944746402,0.0032103976878702,0.018529447464019
2.08,0.018469635440004,0.0020814055064059,0.018469635440004
2.1,0.018344452598211,0.00097102806981512,0.01834445259821
2.12,0.01815586481233,-0.00011715229596501,0.018155864812329
2.14,0.017906021610526,-0.0011797164283134,0.017906021610525
2.16,0.017597244154471,-0.0022134169084967,0.017597244154471
2.18,0.017232012876337,-0.0032151858228485,0.017232012876336
2.2,0.016812954826345,-0.0041821416954744,0.016812954826345
2.22,0.016342830783315,-0.0051115955866072,0.016342830783315
2.24,0.015824522180279,-0.0060010563538851,0.015824522180279
2.26,0.015261017896697,-0.0068482350769178,0.015261017896697
2.28,0.014655400968105,-0.007651048648519,0.014655400968105
2.3,0.014010835263139,-0.0084076225389181,0.014010835263138
2.32,0.013330552176844,-0.0091162927421076,0.013330552176844
2.34,0.01261783738799,-0.0097756069162248,0.01261783738799
2.36,0.011876017726772,-0.010384324732506,0.011876017726772
2.38,0.011108448197802,-0.010941417449875,0.011108448197802
2.4,0.010318499201707,-0.011446066734632,0.010318499201707
2.42,0.009509543996919,-0.011897662746977,0.0095095439969188
2.44,0.0086849464414082,-0.012295801518279,0.0086849464414081
2.46,0.0078480490521887,-0.01264028164496,0.0078480490521886
2.48,0.007002161418397,-0.012931100326796,0.0070021614183968
2.5,0.0061505490016344,-0.013168448779103,0.0061505490016343
2.52,0.005296422355089,-0.013352707049909,0.0052964223550889
2.54,0.0044429267907056,-0.013484438274606,0.0044429267907055
2.56,0.0035931325213796,-0.01356438240187,0.0035931325213795
2.58,0.0027500253028047,-0.01359344942578,0.0027500253028047
2.6,0.0019164975972316,-0.013572712160014,0.0019164975972315
2.62,0.001095340278991,-0.013503398590845,0.001095340278991
2.64,0.00028923489921869,-0.013386883846335,0.00028923489921869
2.66,-0.00049925347520681,-0.013224681819626,-0.0004992534752068
2.68,-0.001267682835925,-0.013018436484624,-0.001267682835925
2.7,-0.0020137402103758,-0.012769912942576,-0.0020137402103758
2.72,-0.0027352470343208,-0.012480988238136,-0.0027352470343207
2.74,-0.0034301639141859,-0.01215364198345,-0.0034301639141858
2.76,-0.0040965947761402,-0.011789946828596,-0.0040965947761401
2.78,-0.004732790401111,-0.011392058816365,-0.0047327904011109
2.8,-0.005337151347176,-0.010962207658945,-0.0053371513471759
2.82,-0.0059082302629524,-0.010502686973434,-0.0059082302629523
2.84,-0.006444733597722,-0.010015844512446,-0.0064447335977219
2.86,-0.006945522716075,-0.0095040724252291,-0.0069455227160749
2.88,-0.0074096144268335,-0.0089697975837813,-0.0074096144268334
2.9,-0.0078361809379005,-0.0084154720074329,-0.0078361809379003
2.92,-0.0082245492504889,-0.0078435634182214,-0.0082245492504887
2.94,-0.0085742000078999,-0.0072565459581657,-0.0085742000078997
2.96,-0.0088847658156382,-0.006656891098245,-0.008884765815638
2.98,-0.0091560290511763,-0.0060470587674994,-0.0091560290511762
3,-0.0093879191830987,-0.0054294887292214,-0.0093879191830985
