time,H_at_2delta,H_at_3delta,H_at_skin_depth,H_surface,avg_H
2.44,0.10543010910059,0.0082806151542118,0.35665906678148,0.36812456897267,0.041787406727668
2.46,0.11539218103593,0.01389357687891,0.34316876478409,0.24868990427175,0.039338179996147
2.48,0.1237164866141,0.019519038197195,0.32436606959691,0.12533325122927,0.036358626100244
2.5,0.13026973793048,0.02506602783672,0.30054633293826,1.7948953158799e-08,0.032895370565792
2.52,0.13494661417791,0.030444847512838,0.272084051303,-0.12533321561442,0.029002671499728
2.54,0.13767142170042,0.035568485774529,0.23942695930355,-0.24868986950164,0.024741563819424
2.56,0.1383992868386,0.040353989496648,0.20308896802382,-0.36812453559564,0.020178896610036
2.58,0.13711686275321,0.044723771388709,0.16364205975125,-0.48175365786961,0.015386278791234
2.6,0.13384253907925,0.048606832899436,0.12170726691133,-0.58778523719063,0.010438949720687
2.62,0.12862615110293,0.051939883230654,0.077944877471096,-0.68454709221642,0.0054145925455105
2.64,0.12154819304698,0.054668336812461,0.033044021277622,-0.77051323069399,0.0003921090157383
2.66,0.11271854787045,0.056747173508421,-0.012288198439632,-0.84432791526896,-0.0045496249183204
2.68,0.10227475361375,0.058141647984347,-0.057337857000633,-0.90482704427348,-0.0093330030999275
2.7,0.090379833629063,0.058827837053038,-0.10139546776877,-0.9510565103049,-0.013882913132509
2.72,0.077219724913587,0.058793016362558,-0.14376717163877,-0.98228724706942,-0.018127921016372
2.74,0.063000345101802,0.058035860487025,-0.18378568005417,-0.99802672719305,-0.022001397773168
2.76,0.047944344371123,0.056566463263942,-0.22082079897709,-0.99802672967251,-0.025442570290628
2.78,0.032287593484677,0.054406178056901,-0.25428936784155,-0.98228725446868,-0.02839747981517
2.8,0.016275463356159,0.051587280462449,-0.28366445674756,-0.95105652250727,-0.030819832976423
2.82,0.0001589548095809,0.048152458780011,-0.30848367685137,-0.90482706108653,-0.032671731922561
2.84,-0.015809260430711,0.044154140280108,-0.32835647289247,-0.84432793642753,-0.033924272051827
2.86,-0.031378825084423,0.039653663895648,-0.34297028285029,-0.7705132558644,-0.034557997913694
2.88,-0.046305645143413,0.034720312383093,-0.35209546758963,-0.68454712100171,-0.034563210089887
2.9,-0.060355739908682,0.029430219216581,-0.35558893275177,-0.58778526913684,-0.033940118215613
2.92,-0.073308932519444,0.02386516745355,-0.35339638577219,-0.48175369247294,-0.032698837727786
2.94,-0.08496232277289,0.018111299514205,-0.34555319243098,-0.36812457231037,-0.030859230391592
2.96,-0.095133487466739,0.012257758222036,-0.33218381942771,-0.24868990774876,-0.028450591120403
2.98,-0.10366335779373,0.0063952805367055,-0.31349987177238,-0.12533325479075,-0.025511186028124
3,-0.11041872841027,0.0006147661566595,-0.28979675594394,-2.1538743080017e-08,-0.022087648999199
3.02,-0.11529435861018,-0.0049941564347962,-0.26144902144104,0.12533321205294,-0.018234246292749
3.04,-0.11821463246722,-0.010344543865944,-0.22890445419157,0.24868986602463,-0.014012020778523
3.06,-0.11913475176524,-0.015353509417889,-0.19267701497193,0.36812453225794,-0.0094878293005915
3.08,-0.11804144290333,-0.019943530580817,-0.15333873420153,0.48175365472385,-0.0047332883501649
3.1,-0.1149531666278,-0.024043672004579,-0.11151069093687,0.58778523428642,0.00017635532506279
3.12,-0.10991982728396,-0.027590704557195,-0.067853218331943,0.68454708959958,0.0051634113638543
3.14,-0.10302198617313,-0.030530102843266,-0.023055490031134,0.77051322840578,0.010148970972557
3.16,-0.09436959142119,-0.032816905451097,0.022175348276501,0.84432791334546,0.015054151322557
3.18,-0.084100244389679,-0.034416424362101,0.067125330739348,0.90482704274502,0.019801339539135
3.2,-0.072377029969402,-0.035304792334924,0.11108493078973,0.95105650919559,0.024315416663272
3.22,-0.059385944974544,-0.035469339631895,0.15336025058637,0.98228724639676,0.028524942283741
3.24,-0.045332965193236,-0.034908794146823,0.19328396398839,0.99802672696765,0.032363281157142
3.26,-0.030440797349259,-0.033633301778189,0.23022584048348,0.99802672989791,0.035769654048362
3.28,-0.014945367198636,-0.031664266726625,0.26360268410133,0.98228725514134,0.038690096219067
3.3,0.0009079008537986,-0.02903401423548,0.29288753056959,0.95105652361658,0.041078308448269
3.32,0.016867953944955,-0.025785281093417,0.31761795766757,0.90482706261498,0.042896387163848
3.34,0.032682069715704,-0.02197054193431,0.33740337771819,0.84432793835103,0.044115422170392
3.36,0.048099841609336,-0.017651181959236,0.35193119721114,0.77051325815262,0.044715952546826
3.38,0.062877127655497,-0.012896529127427,0.3609717464161,0.68454712361856,0.044688273524012
3.4,0.076779900464702,-0.0077827610792486,0.36438190124294,0.58778527204104,0.044032589502684
3.42,0.089587937716525,-0.0023917040298251,0.36210734022995,0.4817536956187,0.042759010798505
3.44,0.10109829494004,0.003190457424356,0.35418340106568,0.36812457564808,0.040887394165554
3.46,0.11112850581852,0.0088745392385984,0.34073452313665,0.24868991122577,0.038447029613288
3.48,0.11951945954747,0.014569764161589,0.32197228489206,0.12533325835223,0.035476178456033
3.5,0.12613790986821,0.02018519310802,0.29819206697718,2.5128533001234e-08,0.032021469880223
3.52,0.13087857620778,0.025631159088501,0.26976839375993,-0.12533320849146,0.028137165545877
3.54,0.13366580378892,0.030820681082715,0.2371490267172,-0.24868986254762,0.023884303819976
3.56,0.13445475652889,0.035670835558049,0.20084790283183,-0.36812452892023,0.019329737137657
3.58,0.13323212391432,0.040104064003937,0.16143702936563,-0.48175365157809,0.014545077672633
3.6,0.13001633070406,0.044049395861167,0.11953746283286,-0.58778523138222,0.0096055679441993
3.62,0.1248572461529,0.047443567559747,0.075809514440738,-0.68454708698273,0.0045888941720421
3.64,0.11783539734142,0.050232020017293,0.030942336463294,-0.77051322611756,-0.00042603890707051
3.66,0.10906069901845,0.052369758866711,-0.014356946222763,-0.84432791142195,-0.0053603524388542
3.68,0.09867071998692,0.053822063846741,-0.05937438803784,-0.90482704121656,-0.010136437442414
3.7,0.086828513373137,0.054565036167768,-0.103400482163,-0.95105650808629,-0.01467917877402
3.72,0.073720044997431,0.054585975220503,-0.14574134999883,-0.9822872457241,-0.018917139761134
3.74,0.059551260402035,0.053883578686519,-0.18572968415527,-0.99802672674224,-0.02278368882429
3.76,0.0445448367909,0.052467962894696,-0.22273527239498,-0.99802673012332,-0.026218050319365
3.78,0.028936671105156,0.050360503102431,-0.2561749365615,-0.982287255814,-0.029166263027818
3.8,0.012972159619256,0.047593496220404,-0.28552172974935,-0.95105652472588,-0.031582031178953
3.82,-0.0030976722693046,0.044209651299843,-0.31031324667138,-0.90482706414344,-0.033427454583084
3.84,-0.019020129021258,0.040261415817511,-0.33015891616389,-0.84432794027454,-0.034673626360974
3.86,-0.034544830272453,0.035810148383233,-0.34474616082248,-0.77051326044084,-0.035301088843008
3.88,-0.049427659635588,0.030925150916783,-0.35384532662756,-0.6845471262354,-0.035300140448302
3.9,-0.063434614711943,0.025682575557203,-0.35731330481635,-0.58778527494524,-0.034670988704098
