time,max_rho,max_rho_u,min_rho,total_mass,total_rho_E
0.1575,1,0.39296073146583,0.125,0.5625,1.375
0.158,1,0.39296835852627,0.125,0.5625,1.375
0.1585,1,0.39297593622156,0.125,0.5625,1.375
0.159,1,0.39298346504339,0.125,0.5625,1.375
0.1595,1,0.39299094547669,0.125,0.5625,1.375
0.16,1,0.39299837799971,0.125,0.5625,1.375
0.1605,1,0.39300576308415,0.125,0.5625,1.375
0.161,1,0.39301310119528,0.125,0.5625,1.375
0.1615,1,0.39302039279203,0.125,0.5625,1.375
0.162,1,0.39302763832715,0.125,0.5625,1.375
0.1625,1,0.39303483824728,0.125,0.5625,1.375
0.163,1,0.39304199299306,0.125,0.5625,1.375
0.1635,1,0.39304910299925,0.125,0.5625,1.375
0.164,1,0.39305616869484,0.125,0.5625,1.375
0.1645,1,0.3930631905031,0.125,0.5625,1.375
0.165,1,0.39307016884174,0.125,0.5625,1.375
0.1655,1,0.39307710412297,0.125,0.5625,1.375
0.166,1,0.3930839967536,0.125,0.5625,1.375
0.1665,1,0.39309084713514,0.125,0.5625,1.375
0.167,1,0.39309765566387,0.125,0.5625,1.375
0.1675,1,0.39310442273096,0.125,0.5625,1.375
0.168,1,0.39311114872252,0.125,0.5625,1.375
0.1685,1,0.39311783401971,0.125,0.5625,1.375
0.169,1,0.39312447899882,0.125,0.5625,1.375
0.1695,1,0.39313108403134,0.125,0.5625,1.375
0.17,1,0.39313764948403,0.125,0.5625,1.375
0.1705,1,0.39314417571903,0.125,0.5625,1.375
0.171,1,0.39315066309392,0.125,0.5625,1.375
0.1715,1,0.39315711196178,0.125,0.5625,1.375
0.172,1,0.39316352267128,0.125,0.5625,1.375
0.1725,1,0.39316989556674,0.125,0.5625,1.375
0.173,1,0.39317623098823,0.125,0.5625,1.375
0.1735,1,0.39318252927158,0.125,0.5625,1.375
0.174,1,0.39318879074851,0.125,0.5625,1.375
0.1745,1,0.39319501574665,0.125,0.5625,1.375
0.175,1,0.39320120458965,0.125,0.5625,1.375
0.1755,1,0.39320735759718,0.125,0.5625,1.375
0.176,1,0.39321347508506,0.125,0.5625,1.375
0.1765,1,0.39321955736528,0.125,0.5625,1.375
0.177,1,0.39322560474605,0.125,0.5625,1.375
0.1775,1,0.3932316175319,0.125,0.5625,1.375
0.178,1,0.39323759602372,0.125,0.5625,1.375
0.1785,0.99999999999999,0.39324354051879,0.125,0.5625,1.375
0.179,0.99999999999999,0.39324945131087,0.125,0.5625,1.375
0.1795,0.99999999999999,0.39325532869024,0.125,0.5625,1.375
0.18,0.99999999999999,0.39326117294376,0.125,0.5625,1.375
0.1805,0.99999999999999,0.3932669843549,0.125,0.5625,1.375
0.181,0.99999999999999,0.39327276320382,0.125,0.5625,1.375
0.1815,0.99999999999999,0.39327850976741,0.125,0.5625,1.375
0.182,0.99999999999998,0.39328422431933,0.125,0.5625,1.375
0.1825,0.99999999999998,0.39328990713007,0.125,0.5625,1.375
0.183,0.99999999999998,0.39329555846699,0.125,0.5625,1.375
0.1835,0.99999999999997,0.39330117859438,0.125,0.5625,1.375
0.184,0.99999999999997,0.39330676777348,0.125,0.5625,1.375
0.1845,0.99999999999996,0.39331232626255,0.125,0.5625,1.375
0.185,0.99999999999995,0.3933178543169,0.125,0.5625,1.375
0.1855,0.99999999999995,0.39332335218895,0.125,0.5625,1.375
0.186,0.99999999999994,0.39332882012825,0.125,0.5625,1.375
0.1865,0.99999999999993,0.39333425838152,0.125,0.5625,1.375
0.187,0.99999999999991,0.39333966719274,0.125,0.5625,1.375
0.1875,0.9999999999999,0.39334504680311,0.125,0.5625,1.375
0.188,0.99999999999988,0.39335039745117,0.12500000000001,0.5625,1.375
0.1885,0.99999999999987,0.39335571937278,0.12500000000001,0.5625,1.375
0.189,0.99999999999984,0.39336101280118,0.12500000000001,0.5625,1.375
0.1895,0.99999999999982,0.39336627796704,0.12500000000001,0.5625,1.375
0.19,0.99999999999979,0.39337151509848,0.12500000000001,0.5625,1.375
0.1905,0.99999999999976,0.3933767244211,0.12500000000001,0.5625,1.375
0.191,0.99999999999972,0.39338190615804,0.12500000000002,0.5625,1.375
0.1915,0.99999999999967,0.39338706053,0.12500000000002,0.5625,1.375
0.192,0.99999999999962,0.39339218775526,0.12500000000002,0.5625,1.375
0.1925,0.99999999999956,0.39339728804975,0.12500000000003,0.5625,1.375
0.193,0.99999999999949,0.39340236162705,0.12500000000004,0.5625,1.375
0.1935,0.99999999999942,0.39340740869843,0.12500000000004,0.5625,1.375
0.194,0.99999999999933,0.3934124294729,0.12500000000005,0.5625,1.375
0.1945,0.99999999999923,0.39341742415723,0.12500000000006,0.5625,1.375
0.195,0.99999999999911,0.39342239295596,0.12500000000007,0.5625,1.375
0.1955,0.99999999999897,0.39342733607146,0.12500000000009,0.5625,1.375
0.196,0.99999999999882,0.39343225370395,0.12500000000011,0.56250000000001,1.375
0.1965,0.99999999999864,0.39343714605154,0.12500000000013,0.56250000000001,1.375
0.197,0.99999999999844,0.39344201331023,0.12500000000015,0.56250000000001,1.375
0.1975,0.99999999999821,0.39344685567395,0.12500000000018,0.56250000000001,1.375
0.198,0.99999999999795,0.39345167333463,0.12500000000022,0.56250000000001,1.375
0.1985,0.99999999999765,0.39345646648216,0.12500000000026,0.56250000000001,1.375
0.199,0.99999999999731,0.39346123530444,0.12500000000031,0.56250000000001,1.375
0.1995,0.99999999999692,0.39346597998746,0.12500000000038,0.56250000000001,1.375
0.2,0.99999999999648,0.39347070071523,0.12500000000045,0.56250000000001,1.3750000000001
