time,max_A,total_A
0.55,0.88476016844545,0.60986636680141
0.56,0.88314882230471,0.60961595002655
0.57,0.881486329019,0.60936646260457
0.58,0.87977376773021,0.60911789683871
0.59,0.8780122057034,0.6088702451716
0.605,0.87530171747507,0.60850081687825
0.62,0.87319026382499,0.60813341315215
0.635,0.87096470031285,0.6077680099524
0.65,0.86862836855073,0.60740458380978
0.665,0.8661845627769,0.60704311179975
0.68,0.86363652843988,0.6066835715176
0.695,0.86098746099147,0.60632594105548
0.71,0.8585624152315,0.60597019898108
0.725,0.85667869090787,0.605616324318
0.74,0.85468539920601,0.60526429652452
0.755,0.85258549904572,0.60491409548547
0.77,0.85038191590429,0.6045657014865
0.785,0.84807754021369,0.6042190952027
0.8,0.84567522594039,0.60387425768461
0.815,0.84359091610666,0.60353117034494
0.83,0.84165125531834,0.60318981494624
0.845,0.83961060168262,0.60285017358913
0.86,0.83747161700668,0.60251222870127
0.875,0.83523693423453,0.60217596302693
0.89,0.83290915614234,0.60184135961706
0.905,0.8304908541755,0.60150840181993
0.92,0.82877019852744,0.60117707327223
0.935,0.8270237781348,0.60084735789054
0.95,0.82518002496294,0.60051923986335
0.965,0.82324132515177,0.60019270364332
0.98,0.82121004441392,0.59986773393994
0.995,0.81908852668926,0.59954431571255
1.01,0.81700745322563,0.59922243416364
1.025,0.81529975701058,0.59890207473244
1.04,0.81349946088762,0.59858322308876
1.055,0.81160875710934,0.59826586512712
1.07,0.80962982097189,0.59794998696109
1.085,0.80756480960128,0.5976355749179
1.1,0.80541586084306,0.59732261553316
1.115,0.80358078099884,0.59701109554589
1.13,0.80203702175338,0.59670100189367
1.145,0.80040387655616,0.59639232170802
1.16,0.79868332615516,0.59608504230986
1.175,0.7968773397417,0.59577915120524
1.19,0.79498787375879,0.59547463608112
1.205,0.79301687079896,0.59517148480137
1.22,0.79140291114259,0.59486968540287
1.235,0.78980184171093,0.59456922609171
1.25,0.78811725576226,0.59427009523961
1.265,0.78635097799413,0.59397228138034
1.28,0.7845048224559,0.59367577320631
1.295,0.78258059155283,0.59338055956531
1.31,0.78066167012767,0.59308662945724
1.325,0.77928721028923,0.59279397203105
1.34,0.77783022938759,0.5925025765817
1.355,0.77629239580375,0.59221243254727
1.37,0.77467537191565,0.59192352950605
1.385,0.77298081306891,0.59163585717387
1.4,0.77121036661355,0.59134940540134
1.415,0.76957419947619,0.59106416417131
1.43,0.76814087047527,0.59078012359629
1.445,0.76663005208797,0.59049727391603
1.46,0.76504329467213,0.59021560549508
1.475,0.76338214278005,0.5899351088205
1.49,0.76164813428728,0.58965577449958
1.505,0.75984279957607,0.5893775932576
1.52,0.7584361318903,0.58910055593571
1.535,0.75712858553291,0.58882465348886
1.55,0.75574591972189,0.58854987698367
1.565,0.75428955466267,0.58827621759654
1.58,0.75276090722984,0.58800366661162
1.595,0.75116139013535,0.58773221541899
1.61,0.74951171897238,0.58746185551275
1.625,0.74822145800857,0.58719257848928
1.64,0.74685901167422,0.58692437604542
1.655,0.74542571174901,0.58665723997678
1.67,0.74392288738487,0.5863911621761
1.685,0.74235186435121,0.58612613463152
1.7,0.74071396432191,0.58586214942524
1.715,0.73921669313506,0.58559919873138
1.73,0.73803740052815,0.58533727481505
1.745,0.73678803917792,0.5850763700306
1.76,0.73546983487328,0.58481647682024
1.775,0.73408401250489,0.58455758771252
1.79,0.73263179534942,0.58429969532102
1.805,0.73111440439017,0.58404279234294
1.82,0.72980794468103,0.58378687155777
1.835,0.72857355517356,0.58353192582599
1.85,0.7272728314322,0.58327794808783
1.865,0.72590692784559,0.58302493136192
1.88,0.72447699763385,0.58277286874419
1.895,0.72298419222869,0.58252175340658
1.91,0.7214296606847,0.5822715785959
1.925,0.72034594161901,0.5820223376327
1.94,0.71921223462552,0.5817740239101
1.955,0.71801400438281,0.58152663089274
1.97,0.71675231902154,0.58128015211564
1.985,0.71542824676889,0.58103458118322
2,0.71404285536051,0.58078991176819
2.015,0.7127090027541,0.58054613761055
2.03,0.71158615921213,0.58030325251665
2.045,0.7104010186818,0.58006125035813
2.06,0.70915459189374,0.57982012507103
2.075,0.70784788990925,0.57957987065482
2.09,0.70648192358165,0.57934048117148
2.105,0.70505770304212,0.5791019507446
2.12,0.70388182381078,0.57886427355851
2.135,0.7028493142367,0.57862744385739
2.15,0.7017561447687,0.57839145594443
2.165,0.70060325394872,0.57815630418098
2.18,0.6993915815668,0.57792198298576
2.195,0.69812206815102,0.57768848683402
2.21,0.69679565447938,0.57745581025677
2.225,0.69574220450049,0.57722394783999
2.24,0.69465863251688,0.57699289422389
2.255,0.69351727933607,0.57676264410213
2.27,0.69231903758293,0.57653319222113
2.285,0.69106480076084,0.5763045333793
2.3,0.68975546280219,0.57607666242638
2.315,0.68850218971882,0.57584957426269
2.33,0.68755888732487,0.57562326383851
2.345,0.68655839781417,0.57539772615334
2.36,0.6855015514308,0.57517295625532
2.375,0.68438918043887,0.57494894924049
2.39,0.68322211867876,0.57472570025224
2.405,0.68200120114089,0.57450320448064
2.42,0.6809126779634,0.57428145716181
2.435,0.67991898146252,0.57406045357736
2.45,0.67887067261712,0.57384018905375
2.465,0.67776854439592,0.57362065896178
2.48,0.67661339139122,0.57340185871591
2.495,0.67540600942514,0.57318378377378
2.51,0.67414719517113,0.57296642963563
2.525,0.67322316263356,0.57274979184373
2.54,0.67230496346762,0.57253386598189
2.555,0.67133345243522,0.57231864767489
2.57,0.67030937092854,0.57210413258798
2.585,0.66923346248264,0.57189031642638
2.6,0.66810647240197,0.57167719493475
2.615,0.66698880772294,0.57146476389673
2.63,0.66607513101971,0.57125301913441
2.645,0.66510971848909,0.57104195650791
2.66,0.66409327849927,0.57083157191485
2.675,0.66302652154807,0.57062186128992
2.69,0.66191015991686,0.57041282060444
2.705,0.66074490733693,0.57020444586587
2.72,0.6597423428051,0.56999673311738
2.735,0.65889763222753,0.56978967843746
2.75,0.65800237692477,0.56958327793941
2.765,0.65705724084071,0.56937752777102
2.78,0.65606289043782,0.56917242411406
2.795,0.65501999436881,0.56896796318393
2.81,0.6539292231596,0.56876414122924
2.825,0.65303600316582,0.56856095453143
2.84,0.65214484945671,0.56835839940434
2.855,0.65120521698664,0.56815647219389
2.87,0.65021774419607,0.56795516927763
2.885,0.64918307168659,0.56775448706444
