time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
3.4e-10,1.6316737158637e-119,6.2718407751013e-73,3.1038871160572e-30,4.4595473369661e-08,5.5503193501844e-05,-6.1810790999788e-73,5.5278177016783e-05,-3.6060326315141e-126,7.5308550044706e-120,3.8843260152812e-90,1.4607345088827e-55,-3.0680661460305e-30,5.5391068256143e-09
3.5e-10,1.8998468474586e-118,1.0144593186696e-71,2.0465776511653e-29,5.9991694497731e-08,6.8291154158005e-05,9.9952282250594e-72,6.6601693526048e-05,2.6243350328847e-122,1.7157156429082e-121,-6.8898849921945e-89,-2.1121106465905e-54,2.0210177110942e-29,1.2643633195191e-08
3.6e-10,3.5887070070113e-117,1.5472595717791e-70,1.366953952541e-28,7.7496964709612e-08,8.3839988573474e-05,-1.52419887626e-70,7.7140037778528e-05,-1.8570564471115e-118,-2.9793257514759e-117,1.1591924306468e-87,2.8609009052226e-53,-1.3500576866576e-28,2.1250637492659e-08
3.7e-10,1.1424380136155e-115,2.223833485185e-69,6.7118306949286e-28,9.6467786023059e-08,0.00010270043079765,2.1904982751419e-69,8.5484582516503e-05,7.9254048863968e-114,1.1370810524437e-115,-1.8481438773214e-86,-3.626192577905e-52,6.6401841298835e-28,2.7303670233875e-08
3.8e-10,3.19628164682e-114,3.0101430308907e-68,1.0976892817703e-27,1.1581037867503e-07,0.00012552574206884,-2.965031811095e-68,8.9776656123729e-05,-1.0940066380776e-109,-3.1901527781323e-114,2.7905513610127e-85,4.2945541173498e-51,-1.0950071475611e-27,2.7196403971498e-08
3.9e-10,7.8896693135158e-113,3.8341877439602e-67,1.4319534365786e-26,1.338745420764e-07,0.00015308365566622,3.7770418703791e-67,8.7675976150781e-05,3.456995316466e-105,7.8311564897899e-113,-3.9884778610847e-84,-4.7426828308232e-50,-1.4046109030956e-26,2.1031011039919e-08
4e-10,1.7912475539284e-111,4.5911423520013e-66,1.3261375139744e-25,1.4835575306894e-07,0.00018627833408091,-4.5233768240009e-66,7.6372402185476e-05,-5.0516899409077e-101,-1.7722499225711e-111,5.3937287568973e-83,4.8710750953708e-49,1.3090532535069e-25,1.1825730940768e-08
4.1e-10,3.8251928454646e-110,5.1609595030915e-65,3.693848620432e-25,1.5621278760827e-07,0.00022616795969022,5.0857836300115e-65,5.2635735712843e-05,9.6837891102241e-97,3.7792268305682e-110,-6.897375075743e-82,-4.6360971101125e-48,-3.6705912909337e-25,5.4089544465406e-10
4.2e-10,7.7671239969009e-109,5.4364858092887e-64,1.7693315898522e-24,1.5362039101534e-07,0.0002739909119092,-5.3585577176723e-64,1.2936725249669e-05,-1.7331571622722e-92,-7.6695347101144e-109,8.3342635573594e-81,4.0693132399663e-47,-1.7268747619983e-24,-1.7034886161781e-08
4.3e-10,1.5072231370319e-107,5.3537313692502e-63,1.7596938442807e-23,1.3597005329817e-07,0.00033119009068363,5.2783936550645e-63,-4.6364418389848e-05,4.505800907262e-87,1.4879930861425e-107,-9.50635292856e-80,-3.2724571526731e-46,1.7373584777035e-23,-4.7206555283783e-08
