time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00132,-613413.04093153,8.7630434418789e-05,5.0871458831223e-05,1.0504120206546e-23
0.00134,-602517.66501038,8.6073952144339e-05,5.3272974265629e-05,6.5866558171882e-23
0.00136,-591027.674116,8.4432524873714e-05,5.572185053683e-05,3.9909324389918e-22
0.00138,-578954.40753524,8.2707772505034e-05,5.851623598362e-05,2.3363728111212e-21
0.0014,-566309.7801803,8.0901397168614e-05,6.1239283931658e-05,1.321339585729e-20
0.00142,-553106.27083014,7.9015181547163e-05,6.3521583943916e-05,7.2182040944718e-20
0.00144,-539356.90981534,7.7050987116477e-05,6.5713366879602e-05,3.8081634856437e-19
0.00146,-525075.26615869,7.5010752308386e-05,6.8198043423344e-05,1.9399661450956e-18
0.00148,-510275.43418411,7.2896490597739e-05,7.0649722665157e-05,9.5406075882001e-18
0.0015,-494972.01960711,7.0710288515346e-05,7.269256956981e-05,4.5285872524375e-17
0.00152,-479180.1251202,6.8454303588807e-05,7.4649319819248e-05,2.0741761083642e-16
0.00154,-462915.33548661,6.6130762213288e-05,7.6854944578458e-05,9.1644277643517e-16
0.00156,-446193.70215296,6.3741957454327e-05,7.8959152225934e-05,3.9049119008197e-15
0.00158,-429031.7273816,6.129024678484e-05,8.0683389960443e-05,1.6040598617242e-14
0.0016,-411446.34786553,5.8778049758575e-05,8.2407455584049e-05,6.3500591416284e-14
0.00162,-393454.91766087,5.6207845622291e-05,8.4320301746921e-05,2.4216617293599e-13
0.00164,-375075.18985815,5.3582170869025e-05,8.6010154389879e-05,8.8929020970647e-13
0.00166,-356325.29514196,5.0903616734877e-05,8.7395095499787e-05,3.1431685129806e-12
0.00168,-337223.71168111,4.8174826641753e-05,8.8890152060174e-05,1.0687309126904e-11
0.0017,-317789.21054806,4.5398493588618e-05,9.0445903860634e-05,3.4938894905183e-11
0.00172,-298040.73415644,4.2577357493817e-05,9.167583395218e-05,1.0975718268143e-10
0.00174,-277997.09973304,3.9714202491097e-05,9.2757608904624e-05,3.3110066243564e-10
0.00176,-257676.26986865,3.6811854181985e-05,9.3995133463956e-05,9.5848646408358e-10
0.00178,-237093.61375589,3.3873176847253e-05,9.5097600209322e-05,2.6605964125039e-09
0.0018,-216257.9635407,3.0901070620202e-05,9.5887424824476e-05,7.0758286728713e-09
0.00182,-195163.18937715,2.7898468624568e-05,9.6717048738352e-05,1.8012999260381e-08
0.00184,-173771.38550687,2.4868334079869e-05,9.7600463622449e-05,4.3850436030098e-08
0.00186,-151981.81580942,2.1813657377053e-05,9.8189885243413e-05,1.01969404279e-07
0.00188,-129578.52763434,1.8737453127327e-05,9.8633974000693e-05,2.2623489385051e-07
0.0019,-106151.3389369,1.5642757187089e-05,9.9193975559569e-05,4.7828019610365e-07
0.00192,-80993.523898174,1.2532623661888e-05,9.9594426674947e-05,9.6212024786288e-07
0.00194,-52998.989501039,9.4101218923738e-06,9.9724126190861e-05,1.8388376779397e-06
0.00196,-20612.578773455,6.2783334252211e-06,9.9906586839908e-05,3.3336793147275e-06
0.00198,18079.934165595,3.1403489719947e-06,0.00010007351866816,5.7231967099369e-06
0.002,65025.489705729,-7.3464102128608e-10,9.9950090888999e-05,9.2886210312257e-06
0.00202,121595.04383237,-3.1418175290319e-06,9.9757307075116e-05,1.422890301845e-05
0.00204,187787.97888281,-6.2797998079576e-06,9.963334081858e-05,2.0547054318158e-05
0.00206,261557.66122064,-9.4115846536602e-06,9.9283943038399e-05,2.7953795520717e-05
0.00208,338739.7741783,-1.2534081358148e-05,9.8752018905788e-05,3.5857314953037e-05
0.0021,414009.15296158,-1.5644208379748e-05,9.8296778966162e-05,4.349995632905e-05
0.00212,482847.91159229,-1.8738896384224e-05,9.7717812892674e-05,5.0239376700388e-05
0.00214,543754.22572854,-2.1815091273861e-05,9.6891369795008e-05,5.5864083830215e-05
