time,avg_v,v_load,v_mid,v_quarter,v_three_quarter
4.45,0.7278190302472,0.57249846668879,0.69765972006742,0.83635508481488,0.60502054851488
4.5,0.73113674632391,0.57770521978016,0.70134655278222,0.83835233687061,0.6098329136891
4.55,0.73441396252326,0.58284883530989,0.70498823050762,0.84032495605585,0.61458675219757
4.6,0.73765117912862,0.58793005107937,0.70858532592325,0.84227327181023,0.61928276518716
4.65,0.74084888965526,0.59294959906202,0.71213840249262,0.84419760663576,0.62392164647063
4.7,0.74400758099989,0.59790820515807,0.71564801479901,0.84609827647353,0.62850408249493
4.75,0.74712773358174,0.60280658898399,0.7191147088549,0.84797559104661,0.63303075232207
4.8,0.75020982147581,0.60764546369295,0.72253902238759,0.84982985417246,0.63750232762109
4.85,0.75325431253916,0.612425535823,0.72592148510317,0.85166136404795,0.64191947266993
4.9,0.75626166853064,0.61714750517021,0.72926261893101,0.85347041350953,0.64628284436612
4.95,0.7592323452249,0.62181206468403,0.7325629382506,0.85525729027116,0.65059309224519
5,0.76216679252093,0.6264199003827,0.7358229501024,0.85702227714197,0.65485085850612
