time,avg_stress_xx,disp_x_left,disp_x_right
0.00066,-202599.24903084,1.0129962451542e-05,1.7970402171826e-61
0.00068,-202492.6663455,1.0124633317275e-05,3.8344963917789e-60
0.0007,-202559.63028969,1.0127981514485e-05,7.8443044957688e-59
0.00072,-202585.75188288,1.0129287594144e-05,1.5396204740548e-57
0.00074,-202498.58104022,1.0124929052011e-05,2.9012237972237e-56
0.00076,-202562.84236949,1.0128142118475e-05,5.2520838226619e-55
0.00078,-202578.57525741,1.012892876287e-05,9.139455977726e-54
0.0008,-202502.91337893,1.0125145668946e-05,1.5296249553477e-52
0.00082,-202564.29912528,1.0128214956264e-05,2.4634659941969e-51
0.00084,-202573.80279657,1.0128690139828e-05,3.8195375351229e-50
0.00086,-202506.18818088,1.0125309409044e-05,5.7038579022406e-49
0.00088,-202565.17440199,1.0128258720099e-05,8.2072526684141e-48
0.0009,-202570.23074455,1.0128511537228e-05,1.1383157883582e-46
0.00092,-202508.80556756,1.0125440278378e-05,1.5223556012941e-45
0.00094,-202565.78593373,1.0128289296687e-05,1.9638075658859e-44
0.00096,-202567.36638506,1.0128368319253e-05,2.444226255452e-43
0.00098,-202510.98870696,1.0125549435348e-05,2.9360494238021e-42
0.001,-202566.25177396,1.0128312588698e-05,3.4046677407201e-41
0.00102,-202564.96571224,1.0128248285612e-05,3.8122028433333e-40
0.00104,-202512.86819665,1.0125643409832e-05,4.1224799852676e-39
0.00106,-202566.62540073,1.0128331270036e-05,4.3063078037709e-38
0.00108,-202562.89151086,1.0128144575543e-05,4.346000666193e-37
0.0011,-202514.52564007,1.0125726282004e-05,4.2381743658958e-36
0.00112,-202566.9345236,1.012834672618e-05,3.9942051969165e-35
0.00114,-202561.05942876,1.0128052971438e-05,3.638270390905e-34
0.00116,-202516.01498433,1.0125800749217e-05,3.203433074703e-33
0.00118,-202567.19495019,1.0128359747509e-05,2.7266420592015e-32
0.0012,-202559.41411584,1.0127970705792e-05,2.2436799768265e-31
0.00122,-202517.3735595,1.0125868677975e-05,1.7849885902687e-30
0.00124,-202567.41637146,1.0128370818573e-05,1.3729862311177e-29
0.00126,-202557.91741018,1.0127895870509e-05,1.0210821003575e-28
0.00128,-202518.62816423,1.0125931408211e-05,7.3420874585859e-28
0.0013,-202567.60507077,1.0128380253539e-05,5.104305615256e-27
0.00132,-202556.5419641,1.0127827098205e-05,3.4308282484691e-26
0.00134,-202519.79861853,1.0125989930927e-05,2.2293926787111e-25
0.00136,-202567.7653104,1.012838826552e-05,1.4004661738649e-24
0.00138,-202555.26756507,1.0127763378253e-05,8.5040013457282e-24
0.0014,-202520.89994257,1.0126044997128e-05,4.991117089907e-23
0.00142,-202567.90009289,1.0128395004644e-05,2.8310518741022e-22
0.00144,-202554.0788934,1.012770394467e-05,1.5517367896552e-21
0.00146,-202521.94375025,1.0126097187512e-05,8.2176083584798e-21
0.00148,-202568.01160354,1.0128400580177e-05,4.2039662232473e-20
0.0015,-202552.96409334,1.0127648204667e-05,2.0772111367153e-19
0.00152,-202522.93917305,1.0126146958654e-05,9.9111189694691e-19
0.00154,-202568.10147974,1.0128405073991e-05,4.5655146929404e-18
0.00156,-202551.91382758,1.0127595691399e-05,2.0299121584167e-17
0.00158,-202523.89348998,1.0126194674586e-05,8.7090597983542e-17
0.0016,-202568.17097474,1.0128408549098e-05,3.6045255491902e-16
0.00162,-202550.92060527,1.0127546031702e-05,1.4387115489929e-15
0.00164,-202524.81246878,1.0126240628975e-05,5.5360915215166e-15
0.00166,-202568.2206939,1.0128411055224e-05,2.0529594214751e-14
0.00168,-202549.97700267,1.0127498923473e-05,7.333927001434e-14
0.0017,-202525.69617535,1.0126285061052e-05,2.5228452777841e-13
0.00172,-202568.23594533,1.0128412632576e-05,8.3530977722881e-13
0.00174,-202549.02917426,1.0127454119426e-05,2.6607134912253e-12
0.00176,-202526.40036089,1.0126328167295e-05,8.1492509598494e-12
0.00178,-202567.78655983,1.0128413314424e-05,2.3986432100867e-11
0.0018,-202546.87213295,1.0127411415196e-05,6.7808548890499e-11
0.00182,-202523.72236314,1.0126370110161e-05,1.8399200454426e-10
0.00184,-202558.68521627,1.0128413128931e-05,4.7886811750415e-10
0.00186,-202523.52073414,1.0127370640453e-05,1.1946037457206e-09
0.00188,-202471.13530777,1.0126411024704e-05,2.8542593147967e-09
0.0019,-202437.7125314,1.012841210047e-05,6.5264739001297e-09
0.00192,-202261.23602838,1.012733165217e-05,1.4269850750538e-08
0.00194,-201932.84158213,1.0126451023669e-05,2.9808944562544e-08
0.00196,-201379.37648874,1.0128410250575e-05,5.9441426137704e-08
0.00198,-200284.80054965,1.0127294329447e-05,1.1305430196425e-07
0.002,-198431.16592535,1.0126490201476e-05,2.0493190520908e-07
0.00202,-195491.72768256,1.0128407598656e-05,3.5382121452785e-07
0.00204,-190912.85492827,1.0127258569472e-05,5.8161582305857e-07
0.00206,-184326.01818534,1.0126528637352e-05,9.1022772808559e-07
0.00208,-175430.30055473,1.0128404162532e-05,1.3568891347957e-06
0.0021,-163960.99403315,1.0127224284339e-05,1.9291745826816e-06
0.00212,-150092.24141173,1.0126566397834e-05,2.6219543272476e-06
0.00214,-134198.98603085,1.0128399958839e-05,3.4184506572962e-06
0.00216,-116625.33480105,1.0127191398513e-05,4.2959246584611e-06
0.00218,-97859.673778979,1.0126603538785e-05,5.2336198498367e-06
0.0022,-78203.673922717,1.0128395003336e-05,6.2182113071997e-06
0.00222,-57691.424654638,1.0127159846791e-05,7.2425886140584e-06
0.00224,-36566.657642309,1.0126640107037e-05,8.2983072249213e-06
0.00226,-15208.254424433,1.0128389311152e-05,9.3679765899307e-06
0.00228,5974.9765523491,1.0127129572637e-05,1.0425878400254e-05
0.0023,26454.692758959,1.0126676141728e-05,1.1449410779674e-05
0.00232,46100.407632542,1.0128382896976e-05,1.2433403278603e-05
0.00234,65327.822345629,1.0127100526836e-05,1.3393491644119e-05
