time,avg_B,max_B,min_B
15.8,0.41352274953483,0.99394973510037,0.0024441147508031
16,0.4151972532357,0.99398616735829,0.0024775148293835
16.2,0.4168393308273,0.99402181206489,0.0025103495127469
16.4,0.41844961050008,0.99405669050687,0.0025426238136377
16.6,0.42002870823601,0.99409082311701,0.002574343081516
16.8,0.42157722805039,0.99412422952056,0.0026055129627972
17,0.42309576222878,0.99415692858056,0.0026361393655549
17.2,0.42458489155905,0.99418893844054,0.0026662284274552
17.4,0.42604518555824,0.99422027656474,0.0026957864863933
17.6,0.42747720269449,0.99425095977547,0.0027248200535356
17.8,0.42888149060414,0.9942810042881,0.0027533357885525
18,0.43025858630413,0.99431042574364,0.0027813404768698
18.2,0.4316090164,0.99433923923915,0.0028088410087844
18.4,0.43293329728936,0.99436745935613,0.0028358443603075
18.6,0.43423193536127,0.99439510018698,0.002862357575607
18.8,0.43550542719145,0.99442217535979,0.0028883877509318
19,0.43675425973348,0.99444869806143,0.0029139420199083
19.2,0.43797891050612,0.99447468105925,0.0029390275401091
19.4,0.43917984777695,0.99450013672123,0.0029636514807967
19.6,0.44035753074212,0.994525077035,0.0029878210117574
19.8,0.44151240970274,0.99454951362556,0.0030115432931414
20,0.44264492623758,0.99457345777189,0.0030348254662351
